supplier_id,supplier_name,category,contact_email,min_order_qty,avg_delivery_days,reliability_score,country
S001,HealthyHarvest Foods,Healthy Snacks,contact@healthyharvest.com,100,5,92,USA
S002,NutriSnacks Intl,Healthy Snacks,sales@nutrisnacksintl.com,150,7,88,Canada
S003,ClearWater Beverages,Sparkling Water,info@clearwaterbev.co,80,4,94,USA
S004,LiquidFresh Corp,Sparkling Water,orders@liquidfresh.com,120,6,86,Germany
S005,ChocoPure Industries,Better for you,export@chocopure.com,200,8,90,Belgium
S006,CocoaHealth Co,Better for you,team@cocoahealth.co,180,7,89,Switzerland
S007,Jellostar Desserts,Pudding & Gelatin,hello@jellostar.com,90,5,85,Mexico
S008,SnackWorld Manufacturing,Healthy Snacks,support@snackworld.com,130,6,91,USA
S009,AquaPlus Bottling,Sparkling Water,service@aquaplus.com,100,5,93,France
S010,DietSweet Global,Better for you,contact@dietsweetglobal.com,160,8,87,Netherlands
S011,GelatoMix Foods,Pudding & Gelatin,sales@gelatomix.com,70,4,84,Italy
S012,PremiumSnacks Africa,Healthy Snacks,admin@premiumsnacks.africa,140,9,89,South Africa
S013,PureDrops Mineral,Sparkling Water,orders@puredrops.com,110,6,92,Norway
S014,FitTreat Brands,Better for you,info@fittreatbrands.com,125,7,90,UK
S015,FreshDelight Foods,Pudding & Gelatin,contact@freshdelightfoods.com,95,5,88,USA
